Matrice;prodConformRatio
Comparison_of_integrated_development_environments    ActionScript ;100
Comparison_of_integrated_development_environments    Ada ;93
Comparison_of_integrated_development_environments    Haskell ;100
Comparison_of_integrated_development_environments    Java ;100
Comparison_of_integrated_development_environments    JavaScript ;100
Comparison_of_integrated_development_environments    Lua ;100
Comparison_of_integrated_development_environments      anchor Pascal Object Pascal  Pascal  Object Pascal ;100
Comparison_of_integrated_development_environments    Perl ;80
Comparison_of_integrated_development_environments    PHP ;0
Comparison_of_integrated_development_environments    Python ;90
Comparison_of_integrated_development_environments    Racket ;100
Comparison_of_integrated_development_environments    Ruby ;83
Comparison_of_integrated_development_environments    BASIC ;100
Comparison_of_integrated_development_environments    Scala ;100
Comparison_of_integrated_development_environments    Small Basic (Microsoft) ;100
Comparison_of_integrated_development_environments    Smalltalk ;100
Comparison_of_integrated_development_environments    Tcl ;50
Comparison_of_integrated_development_environments    WLanguage ;100
Comparison_of_integrated_development_environments    C C   ;72
Comparison_of_integrated_development_environments    C  ;100
Comparison_of_integrated_development_environments    Common Lisp ;100
Comparison_of_integrated_development_environments    Component Pascal ;100
Comparison_of_integrated_development_environments    Eiffel ;93
Comparison_of_integrated_development_environments    Fortran ;85
Comparison_of_integrated_development_environments    Groovy ;100
Comparison_of_Intel_processors   Intel;10
Comparison_of_Internet_forum_software   General information;83
Comparison_of_Internet_forum_software   Features;84
Comparison_of_Internet_forum_software   Data storage;84
Comparison_of_Internet_Relay_Chat_bots   General;90
Comparison_of_Internet_Relay_Chat_clients    General ;80
Comparison_of_Internet_Relay_Chat_clients    Release history ;100
Comparison_of_Internet_Relay_Chat_clients   Operating system support;100
Comparison_of_Internet_Relay_Chat_clients   Operating system support;72
Comparison_of_Internet_Relay_Chat_clients    Protocol support ;97
Comparison_of_Internet_Relay_Chat_clients    Direct Client to Client (DCC) support ;93
Comparison_of_Internet_Relay_Chat_clients    Features ;97
Comparison_of_Internet_Relay_Chat_daemons    Servers ;81
Comparison_of_Internet_Relay_Chat_daemons    Operating system support ;87
Comparison_of_Internet_Relay_Chat_daemons    Technology ;88
Comparison_of_Internet_Relay_Chat_daemons    Features ;87
Comparison_of_Internet_Relay_Chat_daemons    Features ;86
Comparison_of_IOC _FIFA _and_ISO_3166_country_codes;100
Comparison_of_IOC _FIFA _and_ISO_3166_country_codes;0
Comparison_of_IOC _FIFA _and_ISO_3166_country_codes    Former countries and former country names ;78
Comparison_of_iOS_e book_reader_software    Navigation features ;100
Comparison_of_iOS_e book_reader_software    Display features ;100
Comparison_of_iOS_e book_reader_software    Edit tool features ;100
Comparison_of_iOS_e book_reader_software    Book source management features ;100
Comparison_of_iOS_e book_reader_software    Supported File Formats ;100
Comparison_of_iOS_e book_reader_software    License ;100
Comparison_of_iOS_e book_reader_software    Special features ;100
Comparison_of_iPod_managers    General ;100
Comparison_of_iPod_managers   Media organization and transfer features;77
Comparison_of_iPod_managers   iPod syncing and maintenance features;66
Comparison_of_iPod_managers   iPhone   iPod Touch compatibility;0
Comparison_of_IPv6_application_support   Applications;94
Comparison_of_IPv6_support_by_major_transit_providers;89
Comparison_of_IPv6_support_in_operating_systems;20
Comparison_of_IPv6_support_in_routers    Comparison table ;100
Comparison_of_IPv6_support_in_routers   Third party firmwares with IPv6 support;100
Comparison_of_iSCSI_targets   Comparison chart;88
Comparison_of_issue tracking_systems    General ;95
Comparison_of_issue tracking_systems    Features ;95
Comparison_of_issue tracking_systems    Input interfaces ;95
Comparison_of_issue tracking_systems    Notification interfaces ;95
Comparison_of_issue tracking_systems    Revision control system integration ;95
Comparison_of_issue tracking_systems    Authentication methods ;87
Comparison_of_JavaScript based_source_code_editors   Overview;94
Comparison_of_JavaScript based_source_code_editors   List of features;77
Comparison_of_JavaScript_charting_frameworks;100
Comparison_of_JavaScript_frameworks    General information ;100
Comparison_of_JavaScript_frameworks    Features ;90
Comparison_of_JavaScript_frameworks    Browser support ;86
Comparison_of_Java_and_C      Design aims ;100
Comparison_of_Java_and_C      Syntax ;100
Comparison_of_Java_and_C      Syntax ;100
Comparison_of_Java_and_C      Runtime ;0
Comparison_of_Java_and_C      Performance ;0
Comparison_of_Java_Remote_Desktop_projects    Comparison chart ;88
Comparison_of_Java_virtual_machines;70
Comparison_of_Java_virtual_machines   Technical information;75
Comparison_of_Java_virtual_machines   Supported CPU architectures;90
Comparison_of_Java_virtual_machines   Supported operating systems;94
Comparison_of_karate_styles   Comparison;14
Comparison_of_LAN_messengers   General information;96
Comparison_of_LAN_messengers   Operating system support;96
Comparison_of_LAN_messengers   Features;93
Comparison_of_layout_engines_(Cascading_Style_Sheets)   Grammar and rules;5
Comparison_of_layout_engines_(Cascading_Style_Sheets)   Selectors;100
Comparison_of_layout_engines_(Cascading_Style_Sheets)    Properties ;16
Comparison_of_layout_engines_(Cascading_Style_Sheets)    Descriptors ;0
Comparison_of_layout_engines_(Cascading_Style_Sheets)   Values and units;100
Comparison_of_layout_engines_(Document_Object_Model)   General overview;100
Comparison_of_layout_engines_(Document_Object_Model)   Core (Fundamental);100
Comparison_of_layout_engines_(Document_Object_Model)   Range;100
Comparison_of_layout_engines_(Document_Object_Model)   Load and Save;85
Comparison_of_layout_engines_(Document_Object_Model)   Validation;85
Comparison_of_layout_engines_(Document_Object_Model)   Core (Extended);85
Comparison_of_layout_engines_(Document_Object_Model)   HTML;100
Comparison_of_layout_engines_(Document_Object_Model)   Style (Style Sheets);100
Comparison_of_layout_engines_(Document_Object_Model)   Style (CSS Fundamental);0
Comparison_of_layout_engines_(Document_Object_Model)   Style (CSS Extended);100
Comparison_of_layout_engines_(Document_Object_Model)   Events;100
Comparison_of_layout_engines_(Document_Object_Model)   Views;85
Comparison_of_layout_engines_(Document_Object_Model)   Traversal;100
Comparison_of_layout_engines_(ECMAScript)   ECMAScript version support;45
Comparison_of_layout_engines_(ECMAScript)   Global object;97
Comparison_of_layout_engines_(ECMAScript)   RegExp object;100
Comparison_of_layout_engines_(ECMAScript)   Error object;100
Comparison_of_layout_engines_(ECMAScript)   NativeError objects;100
Comparison_of_layout_engines_(ECMAScript)   Object object;100
Comparison_of_layout_engines_(ECMAScript)   Function object;100
Comparison_of_layout_engines_(ECMAScript)   Array object;50
Comparison_of_layout_engines_(ECMAScript)   String object;64
Comparison_of_layout_engines_(ECMAScript)   Boolean object;100
Comparison_of_layout_engines_(ECMAScript)   Number object;84
Comparison_of_layout_engines_(ECMAScript)   Math object;85
Comparison_of_layout_engines_(ECMAScript)   Date object;76
Comparison_of_layout_engines_(graphics)   Image format support;100
Comparison_of_layout_engines_(graphics)   JPEG support;100
Comparison_of_layout_engines_(graphics)   GIF support;100
Comparison_of_layout_engines_(graphics)   PNG support;85
Comparison_of_layout_engines_(HTML)    Global structure elements ;100
Comparison_of_layout_engines_(HTML)    Text elements ;100
Comparison_of_layout_engines_(HTML)   Script elements;100
Comparison_of_layout_engines_(HTML)   Language elements;0
Comparison_of_layout_engines_(HTML)   Generic attributes;100
Comparison_of_layout_engines_(HTML)    List elements ;100
Comparison_of_layout_engines_(HTML)    Table elements ;100
Comparison_of_layout_engines_(HTML)    Link elements ;100
Comparison_of_layout_engines_(HTML)    Multimedia elements ;100
Comparison_of_layout_engines_(HTML)   Frame elements;100
Comparison_of_layout_engines_(HTML)   Form elements;100
Comparison_of_layout_engines_(HTML)   Presentational elements;100
Comparison_of_layout_engines_(HTML)   Stylesheet elements;100
Comparison_of_layout_engines_(HTML5)   Elements;92
Comparison_of_layout_engines_(HTML5)    Element specific ;100
Comparison_of_layout_engines_(HTML5)   Global;50
Comparison_of_layout_engines_(HTML5)   Form elements and attributes;92
Comparison_of_layout_engines_(HTML5)   APIs;25
Comparison_of_layout_engines_(HTML5)   Other features;44
Comparison_of_layout_engines_(HTML5)   Next generation additions;100
Comparison_of_layout_engines_(HTML5)   Related specifications;76
Comparison_of_layout_engines_(HTML5_canvas)   Canvas functions;100
Comparison_of_layout_engines_(HTML5_canvas)   Supported contexts;100
Comparison_of_layout_engines_(HTML5_canvas)   Canvas Rendering Context 2D;100
Comparison_of_layout_engines_(HTML5_media)   Element attributes;100
Comparison_of_layout_engines_(HTML5_media)   DOM attributes;100
Comparison_of_layout_engines_(HTML5_media)   DOM events;100
Comparison_of_layout_engines_(HTML5_media)   Video format support;66
Comparison_of_layout_engines_(HTML5_media)   Audio format support;100
Comparison_of_layout_engines_(MathML)   Media type;100
Comparison_of_layout_engines_(MathML)   Elements;98
Comparison_of_layout_engines_(MathML)   Global;0
Comparison_of_layout_engines_(MathML)   Element specific;0
Comparison_of_layout_engines_(MathML)   APIs;0
Comparison_of_layout_engines_(non standard_HTML)   Deprecated HTML elements;100
Comparison_of_layout_engines_(non standard_HTML)   Deprecated HTML attributes;100
Comparison_of_layout_engines_(non standard_HTML)   Proprietary HTML elements;100
Comparison_of_layout_engines_(non standard_HTML)   Proprietary HTML attributes;100
Comparison_of_layout_engines_(Scalable_Vector_Graphics)   SVG version support;100
Comparison_of_layout_engines_(Scalable_Vector_Graphics)   Embedding;71
Comparison_of_layout_engines_(Scalable_Vector_Graphics)   SVG 1 1 support;93
Comparison_of_layout_engines_(web_typography)   Support for CSS font resources;27
Comparison_of_layout_engines_(web_typography)   Support in HTML and XML documents;100
Comparison_of_layout_engines_(web_typography)   Support in SVG documents;100
Comparison_of_layout_engines_(web_typography)   Smart font features support;100
Comparison_of_layout_engines_(XHTML)   Media types;100
Comparison_of_layout_engines_(XHTML)   Combined profiles;100
Comparison_of_layout_engines_(XHTML_1 1)    Structure Module ;100
Comparison_of_layout_engines_(XHTML_1 1)    Text Module ;100
Comparison_of_layout_engines_(XHTML_1 1)    Client side Image Map Module ;100
Comparison_of_layout_engines_(XHTML_1 1)    Object Module ;100
Comparison_of_layout_engines_(XHTML_1 1)    Metainformation Module ;100
Comparison_of_layout_engines_(XHTML_1 1)    Scripting Module ;100
Comparison_of_layout_engines_(XHTML_1 1)    Style Sheet Module ;100
Comparison_of_layout_engines_(XHTML_1 1)    Link Module ;100
Comparison_of_layout_engines_(XHTML_1 1)    Base Module ;100
Comparison_of_layout_engines_(XHTML_1 1)    Ruby Annotation Module ;100
Comparison_of_layout_engines_(XHTML_1 1)    Core ;100
Comparison_of_layout_engines_(XHTML_1 1)    I18N ;100
Comparison_of_layout_engines_(XHTML_1 1)    Hypertext Module ;100
Comparison_of_layout_engines_(XHTML_1 1)    Events ;14
Comparison_of_layout_engines_(XHTML_1 1)    Server side Image Map Module ;100
Comparison_of_layout_engines_(XHTML_1 1)    Intrinsic Events Module ;42
Comparison_of_layout_engines_(XHTML_1 1)    List Module ;100
Comparison_of_layout_engines_(XHTML_1 1)    Presentation Module ;100
Comparison_of_layout_engines_(XHTML_1 1)    Edit Module ;100
Comparison_of_layout_engines_(XHTML_1 1)    Bi directional Text Module ;100
Comparison_of_layout_engines_(XHTML_1 1)    Forms Module ;100
Comparison_of_layout_engines_(XHTML_1 1)    Table Module ;100
Comparison_of_layout_engines_(XHTML_1 1)    Image Module ;100
Comparison_of_layout_engines_(XML)   Core technologies;100
Comparison_of_layout_engines_(XML)   XSL technologies;66
Comparison_of_layout_engines_(XML)   Linking technologies;100
Comparison_of_layout_engines_(XML)   Query technologies;100
Comparison_of_layout_engines_(XML)    Schema technologies ;100
Comparison_of_layout_engines_(XML)   Security technologies;100
Comparison_of_Lemmings_ports   General information;81
Comparison_of_Lemmings_ports   Feature comparison;85
Comparison_of_linear_algebra_libraries    General information ;100
Comparison_of_linear_algebra_libraries    Matrix types and operations ;100
Comparison_of_Linux_distributions    General ;86
Comparison_of_Linux_distributions   Technical;100
Comparison_of_Linux_distributions   Instruction set architecture support;93
Comparison_of_Linux_distributions   Package management and installation;82
Comparison_of_Linux_distributions   Live media;84
Comparison_of_Linux_distributions   Security features;100
Comparison_of_machine_translation_applications   General information;90
Comparison_of_machine_translation_applications   Languages features comparison;95
Comparison_of_Macintosh_models   Desktops;14
Comparison_of_Macintosh_models   Input Output;13
Comparison_of_Macintosh_models   Physical specifications;88
Comparison_of_Macintosh_models   Expansion;100
Comparison_of_Macintosh_models   History;33
Comparison_of_macro_recorder_software;100
Comparison_of_mail_servers    Feature comparison ;94
Comparison_of_mail_servers    Authentication ;100
Comparison_of_mail_servers    Antispam features ;100
Comparison_of_Malaysian_and_Indonesian    Vocabulary comparison ;100
Comparison_of_Malaysian_and_Indonesian    False friends ;100
Comparison_of_Malaysian_and_Indonesian   Table of comparison;100
Comparison_of_massively_multiplayer_online_role playing_games   General information;85
Comparison_of_massively_multiplayer_online_role playing_games   Statistics table;82
Comparison_of_massively_multiplayer_online_role playing_games   Engine table;88
Comparison_of_massively_multiplayer_online_role playing_games   Minimal system requirements;100
Comparison_of_massively_multiplayer_online_role playing_games   Feature Set;75
Comparison_of_MD_and_DO_in_the_United_States   Licensure;0
Comparison_of_memory_cards    Common information ;0
Comparison_of_memory_cards   Physical details;33
Comparison_of_memory_cards    Technical details ;100
Comparison_of_memory_cards    Consumer details ;69
Comparison_of_memory_cards    Compatibility ;100
Comparison_of_metadata_editors    Features ;92
Comparison_of_microblogging_services    General information ;71
Comparison_of_microblogging_services    Features ;100
Comparison_of_microblogging_services    Posting and reading ;100
Comparison_of_Microsoft_Windows_versions     Anchor GI DOS  DOS shells;0
Comparison_of_Microsoft_Windows_versions     Anchor GI 9x  Windows 9x;100
Comparison_of_Microsoft_Windows_versions     Anchor FS 9x  Windows 9x;100
Comparison_of_Microsoft_Windows_versions     Anchor FS NT  Windows NT;76
Comparison_of_Microsoft_Windows_versions     Anchor FS Phone  Windows Phone;100
Comparison_of_Microsoft_Windows_versions     Anchor HR 9x  Windows 9x;100
Comparison_of_Microsoft_Windows_versions     Anchor HR NT  Windows NT;83
Comparison_of_Microsoft_Windows_versions     Anchor HR Phone  Windows Phone;100
Comparison_of_Microsoft_Windows_versions     Anchor memlim NT  Windows NT;60
Comparison_of_Microsoft_Windows_versions   Security features;100
Comparison_of_Microsoft_Windows_versions   Features;73
Comparison_of_Microsoft_Windows_versions     Anchor GI NT  Windows NT;72
Comparison_of_Microsoft_Windows_versions     anchor GI CE  Windows Embedded Compact;14
Comparison_of_Microsoft_Windows_versions     Anchor GI Mobile  Windows Mobile;33
Comparison_of_Microsoft_Windows_versions     Anchor GI Phone  Windows Phone;50
Comparison_of_Microsoft_Windows_versions     anchor TI DOS  DOS shells;0
Comparison_of_Microsoft_Windows_versions     Anchor TI 9x  Windows 9x;100
Comparison_of_Microsoft_Windows_versions      Anchor TI NT  Windows NT ;73
Comparison_of_Microsoft_Windows_versions     Anchor TI Phone  Windows Phone;100
Comparison_of_MIDI_standards;85
Comparison_of_mobile_Internet_Relay_Chat_clients   General;96
Comparison_of_mobile_Internet_Relay_Chat_clients   Release history;95
Comparison_of_mobile_Internet_Relay_Chat_clients   Protocol support;100
Comparison_of_mobile_Internet_Relay_Chat_clients   Direct client to client (DCC) support;93
Comparison_of_mobile_Internet_Relay_Chat_clients   Features;57
Comparison_of_mobile_operating_systems    About OS ;0
Comparison_of_mobile_operating_systems    About OS ;100
Comparison_of_mobile_operating_systems    Peripheral Support ;100
Comparison_of_mobile_operating_systems    Photo and Video ;83
Comparison_of_mobile_operating_systems    Productivity ;100
Comparison_of_mobile_operating_systems    Ringtones and Alerts ;100
Comparison_of_mobile_operating_systems    Security and Privacy ;71
Comparison_of_mobile_operating_systems    Sound and Voice ;88
Comparison_of_mobile_operating_systems    Other Features ;100
Comparison_of_mobile_operating_systems    Advanced Controls ;45
Comparison_of_mobile_operating_systems    Application Ecosystem ;100
Comparison_of_mobile_operating_systems    Basic Features ;100
Comparison_of_mobile_operating_systems    Browser ;100
Comparison_of_mobile_operating_systems    Communication and Connectivity ;100
Comparison_of_mobile_operating_systems    Language and Inputs ;100
Comparison_of_mobile_operating_systems    Maps and Navigation ;100
Comparison_of_mobile_operating_systems    Media Playback and Controls ;100
Comparison_of_mobile_phone_standards    Comparison table ;66
Comparison_of_movie_cameras   General;65
Comparison_of_movie_cameras   Lens and gate aperture;64
Comparison_of_movie_cameras   Shutter;64
Comparison_of_movie_cameras   Movement;64
Comparison_of_movie_cameras   Viewfinder;64
Comparison_of_movie_cameras   General;86
Comparison_of_MUD_clients    Operating systems ;80
Comparison_of_MUD_clients    Protocol support ;85
Comparison_of_MUD_clients    Scripting support ;72
Comparison_of_MySQL_database_engines;100
Comparison_of_national_standards_of_Chinese   Written standards;100
Comparison_of_national_standards_of_Chinese   Vocabulary differences;75
Comparison_of_net connected_media_players;80
Comparison_of_netbook oriented_Linux_distributions   Features;42
Comparison_of_netbook oriented_Linux_distributions   Specific features;16
Comparison_of_netbooks   Specifications;80
Comparison_of_netbooks   Specifications;100
Comparison_of_network_diagram_software    List of Network Mapping Software ;90
Comparison_of_network_diagram_software    List of Drawing Tools  ;100
Comparison_of_network_diagram_software    Network Mapping Features  ;90
Comparison_of_network_diagram_software    Drawing Features ;86
Comparison_of_network_monitoring_systems    Features ;93
Comparison_of_network_monitoring_systems    Release history ;100
Comparison_of_neurofeedback_software   General;95
Comparison_of_Nikon_DSLR_cameras;100
Comparison_of_Nintendo_portable_consoles   Comparison;0
Comparison_of_Nintendo_portable_consoles    Comparison ;100
Comparison_of_Nintendo_portable_consoles   Software compatibility;28
Comparison_of_NMDC_Software    General ;94
Comparison_of_NMDC_Software    Operating system support ;94
Comparison_of_NMDC_Software    General ;85
Comparison_of_NMDC_Software    General ;62
Comparison_of_NMDC_Software    Operating system support ;62
Comparison_of_NMDC_Software    Interface and programming ;62
Comparison_of_North_American_ski_resorts;96
Comparison_of_Norwegian_Bokm l_and_Standard_Danish    Writing system ;100
Comparison_of_Norwegian_Bokm l_and_Standard_Danish    Vowels ;100
Comparison_of_Norwegian_Bokm l_and_Standard_Danish    Consonants ;100
Comparison_of_Norwegian_Bokm l_and_Standard_Danish    Vocabulary ;100
Comparison_of_Norwegian_Bokm l_and_Standard_Danish    False friends ;87
Comparison_of_notetaking_software   General information;93
Comparison_of_notetaking_software   Basic features;94
Comparison_of_notetaking_software   Advanced formatting and content;83
Comparison_of_numerical_analysis_software    General ;96
Comparison_of_numerical_analysis_software    Operating system support ;96
Comparison_of_numerical_analysis_software    Language features ;0
Comparison_of_numerical_analysis_software    Language features ;100
Comparison_of_numerical_analysis_software    General ;80
Comparison_of_numerical_analysis_software    Operating system support ;77
Comparison_of_Nvidia_chipsets    nForce ;100
Comparison_of_Nvidia_chipsets    nForce Southbridges ;50
Comparison_of_Nvidia_chipsets    For AMD processors ;100
Comparison_of_Nvidia_chipsets    For Intel processors ;100
Comparison_of_Nvidia_chipsets    For AMD processors ;100
Comparison_of_Nvidia_chipsets    For Intel processors ;100
Comparison_of_Nvidia_chipsets    For AMD processors ;100
Comparison_of_Nvidia_chipsets    For Intel processors ;100
Comparison_of_Nvidia_chipsets     ;100
Comparison_of_Nvidia_chipsets    nForce Professional ;83
Comparison_of_Nvidia_chipsets    For AMD processors ;100
Comparison_of_Nvidia_chipsets    For Intel processors ;100
Comparison_of_Nvidia_chipsets    nForce2 ;100
Comparison_of_Nvidia_chipsets    nForce2 Southbridges ;25
Comparison_of_Nvidia_chipsets     ;100
Comparison_of_Nvidia_chipsets    For AMD processors ;80
Comparison_of_Nvidia_chipsets    For Intel processors ;100
Comparison_of_Nvidia_chipsets     () ;100
Comparison_of_Nvidia_chipsets    For AMD processors ;100
Comparison_of_Nvidia_chipsets    For Intel processors ;100
Comparison_of_object relational_database_management_systems    Basic data ;100
Comparison_of_object relational_database_management_systems   Object features;100
Comparison_of_object relational_database_management_systems   Data types;100
Comparison_of_object relational_mapping_software;86
Comparison_of_object_database_management_systems;85
Comparison_of_Office_Open_XML_and_OpenDocument   Comparison;50
Comparison_of_Office_Open_XML_software   Word processors;93
Comparison_of_Office_Open_XML_software   Spreadsheet documents;83
Comparison_of_Office_Open_XML_software   Presentation documents;80
Comparison_of_office_suites    General information ;93
Comparison_of_office_suites    Operating system support ;100
Comparison_of_office_suites    Main components ;100
Comparison_of_office_suites    Online capabilities ;100
Comparison_of_OLAP_Servers   General information;100
Comparison_of_OLAP_Servers   Data storage modes;100
Comparison_of_OLAP_Servers   APIs and query languages;100
Comparison_of_OLAP_Servers   OLAP distinctive features;100
Comparison_of_OLAP_Servers   System limits;0
Comparison_of_OLAP_Servers   Security;100
Comparison_of_OLAP_Servers   Operating systems;100
Comparison_of_OLAP_Servers   Support information;100
Comparison_of_online_backup_services   Comparison;100
Comparison_of_online_charity_donation_services_in_the_United_Kingdom;87
Comparison_of_online_charity_donation_services_in_the_United_Kingdom;85
Comparison_of_online_dating_websites   Online Dating Services;72
Comparison_of_online_music_lockers    Comparison ;85
Comparison_of_online_music_stores;92
Comparison_of_open source_configuration_management_software   Basic properties;100
Comparison_of_open source_configuration_management_software   Platform support;100
Comparison_of_open source_operating_systems    General information ;85
Comparison_of_open source_operating_systems    Supported architectures ;88
Comparison_of_open source_operating_systems    General ;88
Comparison_of_open source_operating_systems    Networking ;87
Comparison_of_open source_operating_systems    Network technologies ;81
Comparison_of_open source_operating_systems    Supported file systems ;85
Comparison_of_open source_operating_systems    Supported file system features ;100
Comparison_of_open source_operating_systems    Security features ;100
Comparison_of_open source_software_hosting_facilities   General information;88
Comparison_of_open source_software_hosting_facilities   Features;93
Comparison_of_open source_software_hosting_facilities   Available version control systems;79
Comparison_of_open source_software_hosting_facilities   Popularity;83
Comparison_of_open source_software_hosting_facilities   Specialized hosting facilities;83
Comparison_of_open source_wireless_drivers   Status;98
Comparison_of_open source_wireless_drivers    Driver capabilities ;96
Comparison_of_open source_wireless_drivers   DragonFly BSD;100
Comparison_of_open source_wireless_drivers   FreeBSD;100
Comparison_of_open source_wireless_drivers   NetBSD;26
Comparison_of_open source_wireless_drivers   OpenBSD;96
Comparison_of_open source_wireless_drivers   Solaris and OpenSolaris;100
Comparison_of_open source_wireless_drivers   Darwin  OpenDarwin and Mac OS X;100
Comparison_of_open source_wireless_drivers   FreeBSD;100
Comparison_of_open source_wireless_drivers   OpenBSD;100
Comparison_of_OpenDocument_software   Word processors;100
Comparison_of_OpenDocument_software   Spreadsheet documents;100
Comparison_of_OpenDocument_software   Presentation documents;33
Comparison_of_OpenDocument_software   Conversion   Publishing systems;100
Comparison_of_OpenDocument_software   OpenDocument Format version in exported files;100
Comparison_of_OpenGL_and_Direct3D    Availability ;100
Comparison_of_OpenXPS_and_PDF   Comparison;100
Comparison_of_operating_systems    General information ;100
Comparison_of_operating_systems    Technical information ;81
Comparison_of_operating_systems    Security ;100
Comparison_of_operating_systems    Commands ;80
Comparison_of_operating_system_kernels    Feature overview ;96
Comparison_of_operating_system_kernels    Transport protocol support ;100
Comparison_of_operating_system_kernels    Supported cipher algorithms ;86
Comparison_of_operating_system_kernels    Supported compression algorithms ;100
Comparison_of_operating_system_kernels    Supported hash algorithms ;43
Comparison_of_operating_system_kernels    Supported Bluetooth protocols ;94
Comparison_of_operating_system_kernels    In kernel security ;100
Comparison_of_operating_system_kernels    In kernel virtualization ;66
Comparison_of_operating_system_kernels    In kernel server support ;77
Comparison_of_operating_system_kernels    Binary format support ;90
Comparison_of_operating_system_kernels    File system support ;97
Comparison_of_operating_system_kernels    Networked file system support ;100
Comparison_of_operating_system_kernels    Supported CPU instruction sets and microarchitectures ;0
Comparison_of_operating_system_kernels    Supported kernel execution environment ;86
Comparison_of_optical_character_recognition_software;92
Comparison_of_optimization_software;100
Comparison_of_orbital_launchers_families    List of launchers families ;62
Comparison_of_orbital_launch_systems;100
Comparison_of_orbital_rocket_engines;30
Comparison_of_packet_analyzers   General information;90
Comparison_of_packet_analyzers   Operating system support;86
Comparison_of_parser_generators    Regular languages ;88
Comparison_of_parser_generators    Deterministic context free languages ;86
Comparison_of_parser_generators   Parsing expression grammars  deterministic boolean grammars;80
Comparison_of_parser_generators    General context free  conjunctive or boolean languages ;92
Comparison_of_personal_air_vehicles   PAVs competing in PAV Challenge;50
Comparison_of_personal_air_vehicles   Other PAVs;82
Comparison_of_photo_gallery_software   Desktop applications;100
Comparison_of_photo_gallery_software   Server applications;100
Comparison_of_photo_stitching_software   General;75
Comparison_of_photo_stitching_software    HDR  tonemapping and exposure fusion ;70
Comparison_of_photo_stitching_software    Image corrections ;100
Comparison_of_photo_stitching_software    Export options ;66
Comparison_of_photo_stitching_software    Compatible equipment ;65
Comparison_of_platform_virtualization_software   General;85
Comparison_of_platform_virtualization_software    Features ;77
Comparison_of_platform_virtualization_software    Image type compatibility ;71
Comparison_of_platform_virtualization_software    Other features ;100
Comparison_of_platform_virtualization_software    Restrictions ;0
Comparison_of_popular_optical_data storage_systems   Speed;100
Comparison_of_popular_optical_data storage_systems   Speed;100
Comparison_of_popular_optical_data storage_systems   Speed;100
Comparison_of_portable_media_players    General ;100
Comparison_of_portable_media_players    Technical specifications ;68
Comparison_of_portable_media_players    Synching and transfer ;77
Comparison_of_portable_media_players    Wi Fi connectivity ;62
Comparison_of_portable_media_players    Audio formats ;91
Comparison_of_portable_media_players    Video formats ;69
Comparison_of_portable_media_players    Additional features ;73
Comparison_of_Portuguese_and_Spanish   Samples;83
Comparison_of_Portuguese_and_Spanish   Days of the week;0
Comparison_of_Portuguese_and_Spanish   Vowels;54
Comparison_of_Portuguese_and_Spanish   Vowels;0
Comparison_of_Portuguese_and_Spanish   Unstressed vowels;33
Comparison_of_Portuguese_and_Spanish   Consonants;0
Comparison_of_Portuguese_and_Spanish   Consonants;33
Comparison_of_Portuguese_and_Spanish   Sibilants;0
Comparison_of_Portuguese_and_Spanish   Other pronunciation differences;71
Comparison_of_Portuguese_and_Spanish   Se  si  s   and sim;50
Comparison_of_Portuguese_and_Spanish   Possessives;100
Comparison_of_Portuguese_and_Spanish   Object pronouns;100
Comparison_of_Portuguese_and_Spanish   Clitic personal pronouns;0
Comparison_of_Portuguese_and_Spanish    To like ;100
Comparison_of_Portuguese_and_Spanish   Contractions;0
Comparison_of_Portuguese_and_Spanish   Contractions;0
Comparison_of_Portuguese_and_Spanish   Different spellings for similar sounds;0
Comparison_of_Power_Management_Software_Suites;47
