Feature,Occurrences
Methane,1
Lookout Mobile Security,1
AnyChart,1
Overall Rank,1
Mobile solution,1
As dit ren, sal dié sambreel jou beskerm,1
MACRO32,1
Hulle woon hier,1
H, h,1
First success,1
Business Model,1
Ek is halfpad daar,1
Video ad serving,1
fb2,1
Symantec,1
  Indigenous manned missions,1
Formats total ,1
BullGuard,1
mobi,1
Gordons Gin and Tonic,1
Encryption supported,1
Features  notes,1
Ek het jou lief,1
WebUI,1
articulated lorry,1
saloon,1
First public release date (YYYYMMDD),1
Kaspersky Lab,1
First public release date,1
JuK,1
Rank by countryRank by US State,1
Uit die diepte van ons see,,1
djvu,1
QU, qu,1
BI,1
Lossless compression,1
  Other missions,1
MPW IIgs Assembler,1
manual,1
Musicmatch Jukebox,1
Dynamic typing,1
Axiis,1
FLV,1
DHT,1
MCU core,1
Beneficiaries,1
Plugin, extendable,1
hood, softhard top,1
'n Lemmetjie is 'n klein groen sitrusvrug,1
Sonique,1
Code Name,1
Supported languages,1
Intent,1
S, s,1
Reporting,1
Contribution notes,1
Early Withdrawal,1
Introduced in,1
TX Power,1
Wat maak jy,1
Symbolic Programming System (SPS),1
MMS (MMSU, MMST),1
Israel,1
MediaMonkey,1
hired car, hire car,1
  Manned missions,1
Socket,1
Oor ons ewige gebergtes,1
Tax Year 2015,1
User Support,1
HRM,1
Uit die blou van onse hemel,,1
Ad exchange,1
GIS Capabilities,1
T, t,1
Bacardi  X,1
MultiCo,1
Jewel Isle Rum Punch,1
NMDC compatible,1
Player cost,1
Protection,1
EC,1
DWM,1
,1
cmus,1
Jim Beam,1
Wireframe,1
CH, ch,1
HTTP,1
Met die kreun van ossewa,1
motorway,1
I, i,1
Distributions,1
UMI,1
Content, Geography, Cookie, Technographic (Eg ISP Provider, Bandwidth, Connection Type, IPAddresses, Browser, Browser Language, Operating System, Language, Domain) Time Based, Keyword Targeting, Frequency, ReTargeting Mobile (Mobile Carrier, Device Vendor, Device Type),1
juggernaut, lorry,1
petrol,1
Wild Turkey,1
State,1
SOCSIP Chip,1
Embit,1
MIPS,1
Control of data access behaviors,1
Contribution Limits,1
GDP (Billions of US),1
Anaerobic digestion,1
J, j,1
Telephony app,1
Tax benefit,1
Language,1
VGA DAC,1
Interlingua,1
GPASM,1
C,1
Java EEcompatibility,1
GL,1
Created by,1
Campaigns optimization,1
ASEM51,1
Latest stable release,1
The Lord's Prayer in Ido,1
ID3E,1
Chart type  Framework,1
AVTEST,1
ALM (Assembly Language for Multics),1
Amarok,1
Loans,1
Proprietary implementations (codecs),1
Carbon dioxide,1
MPXPLAY,1
Developer,1
US equivalents,1
SLI,1
Atmospheric reentry,1
Ability to define custom color for each bar (chart item),1
Autocoder,1
Part number,1
Hierdie vrug smaak sleg,1
Platforms,1
PASMO,1
flyover,1
Creative types supported,1
Subjected taxes,1
Bloom filter,1
U, u,1
Last release date,1
India,1
Ons hou daarvan om te braai,1
Data relay satellites,1
Companyowner,1
amCharts,1
GDP (Billions of US in PPP),1
Ons sal lewe, ons sal sterwe,,1
Application,1
Esperanto versionPatro nia, kiu estas en la ielo,Via nomo estu sanktigitaVenu Via regno,plenumiu Via volo,kiel en la ielo, tiel anka sur la teroNian panon iutagan donu al ni hodiaKaj pardonu al ni niajn uldojn,kiel anka ni pardonas al niaj uldantojKaj ne konduku nin en tenton,sed liberigu nin de la malbonoAmen,1
ERP,1
FlexiPanel Ltd,1
RTSP (RTSPU, RTSPT),1
Disconnected Access,1
V, v,1
AVTest,1
XML Support,1
silencer,1
Process (nm),1
Ons sal offer wat jy vra,1
Feature  Framework,1
Hy het op die lughawe aangekom,1
Cog,1
UPnP,1
pavement,1
Jack Daniels,1
Patented,1
Cache (KiB),1
Zinf,1
Ogg,1
FSBQDR Frequency (MHz),1
K, k,1
OGM,1
ARAP,1
Memory management,1
Ons sal antwoord op jou roepstem,,1
FAP(Fortran Assembly Program),1
Animation,1
Black Douglas,1
Interactive legend,1
DRM,1
Lossy compression,1
Unix,1
Model Group,1
x8664,1
Machine model,1
CountryUS State,1
estate car,1
L, l,1
A, a,1
FSBHT (MHz),1
Macro protection,1
Mac OS X,1
OPSWAT,1
MU,1
car valeting,1
chm,1
FSBHT(MHz),1
Babbage,1
bonnet,1
USB2011,1
piesang,1
Home Down Payment,1
ManfBOM,1
ticking over,1
CRM,1
Novial versionNusen Patre, kel es in siele,mey vun nome bli sanktifika,mey vun regno venimey on fa vun volio kom in siele anke sur tereDona a nus disidi li omnidiali pane,e pardona a nus nusen ofensos,kom anke nus pardona a nusen ofensantes,e non dukte nus en tentatione,ma liberisa nus fro malu  Amen,1
ALGOL 68,1
Showup  other animation effects,1
Recovery record,1
Microchip Technology,1
Waar die kranse antwoord gee,1
Forced Distributions,1
Common Language Object Model,1
Conversions and Rollovers,1
Format,1
OB,1
docx,1
Development Status,1
Kap IT Labs,1
PCB Size,1
roadworks,1
LiveGap Chart,1
OS,1
W, w,1
Comments,1
First release date,1
Education Expenses,1
Memory Controller,1
SLoC,1
Vendor,1
Dié boek is vir jou,1
B, b,1
Solar Space Missions,1
3D charts,1
LEO,1
Rhapsody,1
Stem jy saam,1
JSPspec,1
Het jy dit ges,1
PR,1
spanner,1
X, x,1
mudguard, wheel arch, wing,1
3D Capabilities,1
Bits per sample,1
padda,1
indef,1
GTO  GEO,1
Geostationary launches,1
Languages,1
Matroska,1
Encoder cost,1
Software type,1
Space observatories,1
pdf,1
Mobile ad serving,1
pdb,1
WNIC,1
Latest release date  and version,1
Metz,1
MusicBee,1
Verstaan jy my,1
Is jy honger,1
Demo,1
Interfacing,1
Exports,1
M, m,1
Code security,1
POS,1
Patro nia, qua esas en la cielo,tua nomo santigeseztua regno adveneztua volo facesezquale en la cielo, tale anke sur la teroDonez a ni cadie l'omnadiala pano,e pardonez a ni nia ofensi,quale anke ni pardonas a nia ofensanti,e ne duktez ni aden la tento,ma liberigez ni del malajoAmen,1
MPEG21,1
RM,1
singular,1
Ruis die stem van ons geliefde,,1
RX,1
oeb,1
N, n,1
baadjie jas,1
Music reproduction (consumer audio),1
Fabricationprocess (nm),1
SD,1
ASMB, ASBL, NSBL  Numeric op codes, used for 1900 Operating System Executive,1
foobar2000,1
Firmware options,1
C, c,1
ASF,1
Bit rate,1
Servletspec,1
doc,1
html,1
Age range,1
Shared libraries,1
IDE Channels (2 DevicesChannel),1
BirdEye,1
Flexmonster,1
IDE Channels(2 DevicesChannel),1
vasm,1
Sleep,1
Original authors,1
Hydrogen sulfide (trace levels),1
Ondemand scan,1
Modification date resolution,1
Ek kan dit nie glo nie,1
TX,1
Realtime,1
OverDrive Media Console,1
Data Passing,1
hoender,1
Matching Contributions,1
UK,1
Ons vir jou, SuidAfrika,1
Lossless audio compression,1
Mac OS,1
Privacy Advisor,1
Architecture,1
Show total values over the bars,1
Y, y,1
Bundaberg  X,1
Developed by,1
McAfee,1
Canadian Club,1
,1
Designtime support,1
D, d,1
AVI,1
Wat is jou naam,1
  Lunar or Interplanetary missions,1
windscreen,1
QuickTime,1
plural,1
MetaSymbol,1
Z, z,1
Multiple axis,1
Launch of foreign satellite,1
spinnekop,1
Proxy,1
China,1
FIPA Compliant,1
String formater for labels,1
GDP per capita (USD),1
boot,1
Application (besides consumer audio),1
Antenna,1
Magnet URI,1
Combined charts,1
Adobe Flex builtin charts,1
O, o,1
MP4,1
Audion,1
Trial period,1
Implementation Language,1
33MHz PCI,1
Protocol support,1
Boottime scans,1
Rendezvous dockings in orbit,1
Connection Model,1
Ido versionPatro nia, qua esas en la cielo,tua nomo santigeseztua regno adveneztua volo facesezquale en la cielo tale anke sur la teroDonez a ni cadie l'omnidiala pano,e pardonez a ni nia ofensi,quale anke ni pardonas a nia ofensanti,e ne duktez ni aden la tento,ma liberigez ni del malajo,1
Platform,1
IBM ILOG Elixir,1
Media Jukebox,1
Van ons land SuidAfrika,1
Intego,1
P, p,1
Johnnie Walker,1
MAP(Macro Assembly Program),1
North Korea,1
epub,1
Deur ons vr verlate vlaktes,1
Iran,1
Database,1
Operating System,1
AV Comparatives,1
Digestate,1
accelerator,1
Primary Domain,1
Bacardi Breezer,1
VBR,1
E, e,1
dual carriageway,1
Edition,1
LiveUpdate,1
GINerator mnemonic opcodes , used for GEORGE_(operating_system),1
AudienceLogy,1
Cult Shaker,1
SH, sh,1
Module,1
Multisatellite simultaneous launches,1
Medical Expenses,1
Martian missions,1
Service and Support,1
Rhythmbox,1
Speed (MHz),1
'n Lemoen is 'n oranjekleurige vrug,1
Imports,1
F, f,1
MRS,1
Filename extension,1
Opensource implementations (codecs),1
Dj, dj,1
Deduction Limits,1
Mainly Used For,1
Ek het al geet,1
gearbox,1
Stem jy daartoe in,1
rtf,1
Changing Institutions,1
Integrity check,1
Unicode filenames,1
Employer or Individual,1
car park,1
hard shoulder,1
NUT,1
Supported Features,1
Cores,1
Rotate, zoom chart in 3D,1
IM,1
XMMS,1
Type,1
Other Features,1
Sensitivity,1
Rendering,1
Family,1
COMPASS,1
Satellite navigation system,1
Tax,1
Onaccess scan,1
South Korea,1
SOAP(Symbolic Optimal Assembly Program),1
txt,1
Audacious,1
Precompilation,1
Flare,1
Japan,1
musikCube,1
The firsts in Asia,1
Oop vanaand,1
Stable release date (YYYYMMDD),1
Ek is lief vir jou,1
NAT traversal,1
Ek verstaan dit,1
Latest stable version,1
R, r,1
Virus Bulletin VB100,1
MACRO10,1
MACRO11,1
Podcasting,1
CBR,1
AIMP,1
Pricing,1
USB20  11,1
Targeting databases,1
Flash,1
DEB,1
driving licence,1
SOCT,1
G, g,1
Date,1
lorry,1
USB302011,1
Kan ons die middestad besoek,1
Total,1
yFiles,1
World achievements,1
Novial versionNusen Patre, kel es in siele,mey vun nome bli sanktifika,mey vun regno venimey on fa vun voliokom in siele anke sur tereDona a nus disidi li omnidiali pane,e pardona a nus nusen ofensos,kom anke nus pardona a nusen ofensantes,e non dukte nus en tentatione,ma liberisa nus fro malu,1
IPA,1
FSBHT Frequency (MHz),1
SCM,1
Haiku,1
RAM,1
Stereo,2
GDP(in millions USD),2
SATA Ports,2
Code name,2
Snapplify,2
Sample Rate,2
Red Square,2
Algorithm,2
Latency,2
CrossFire,2
Market focus,2
Virtual machine,2
SATA,2
Email Security,2
NBSB Interface,2
ADC support,2
Open source,2
Structure,2
USB Ports,2
Crossfire Enabled,2
British English,2
Afrikaans,2
Interpreter,2
NIC,2
DC,2
Sold in,2
Plugin,2
HT (MHz),2
BSD,2
Ad Servering Platform,2
Sold mixed with,2
AV Comparatives,2
Ido,2
Programming Language,2
Active Development,2
Features,2
American English,2
Google Play Books,2
IGP,2
JIT,2
Country,2
Processors Supported,2
Multichannel,2
Manufacturer,2
RAID,2
Parallel ATA,2
IPS,3
Audio,3
Parental Control,3
Creator,3
TDP (W),3
FOSS,3
Software license,3
CLI,3
Hash algorithms,3
GUI,3
Email security,3
Nation,3
IPv6,3
CPU support,3
IDS,3
Programming language,3
CallSMS Filtering,3
AntiTheft,3
Heuristics,3
Encryption,3
UDL,3
Active,3
Backup,3
CloudAV,3
Fabrication process (nm),3
Audio compression format,3
FBReader,4
Novial,4
EBookDroid,4
Aldiko Book Reader,4
Rank,4
Based on,4
Moon reader,4
Ebook Reader,4
OS X,4
Esperanto,4
LiveUpdate,4
Other software,4
Kindle,4
English,4
AlReader,4
Socio eReader,4
PocketBook,4
iReader,4
Mantano Ebook Reader,4
Package,4
ADC hub,4
Lektz eBook Reader,4
Cool Reader,4
Kobo Books,4
ADC client,4
Year,5
Audio player,5
Host platform,5
Fab (nm),5
Products,5
Instruction set,5
Southbridge,5
Features  Notes,5
Product,6
Linux,6
Windows,6
Released,6
Onaccess scan,7
Ondemand scan,7
Assembler,7
Name,7
Country of origin,8
First release,8
Web protection,8
Price,8
Codename,8
Support,8
AntiSpam,8
Firewall,8
Software,8
Other,9
Model,10
Company,10
Notes,14
License,19